Sub	Age	Version	Gender	cubes_raw	cubes_acc1	cubes_acc2	objects_raw	objects_acc1	objects_acc2	bodies_raw	bodies_acc1	bodies_acc2	cubes_rt1	cubes_rt2	objects_rt1	objects_rt2	bodies_rt1	bodies_rt2	cubes_acc	sub	cubes_high_low	cubes_mean	centered_cubes	objects_acc	mean_obj	obj_centered	bodies_acc	mean_acc	cubes_rt	objects_rt	bodies_rt	ST_score	ST_rt	Object_scale	Spatial scale	Verbal scale	OSIQV_style	CFS_score	reflection_score	rumination_score	preoccupation_score
1	35	A	F	48	21	27	42	23	19	48	26	22	2.71	2.58	1.71	1.96	2.54	1.98	0.8	1	1	0.77748538	0.02251462	0.7	-4.28507E-17	0.7	0.8	0.766666667	2.65	1.84	3.53	242	312	64	51	33	object	54	11	6	7
2	21	A	M	47	18	29	58	29	29	55	26	29	2.35	2.12	0.89	0.95	1.74	1.84	0.783333333	2			0.005847953	0.966666667		0.966666667	0.916666667	0.888888889	2.24	0.92	2.66	184	399	63	60	45	object	53	6	5	5
3	21	A	M	47	23	24	58	29	29	54	26	28	2.03	2.14	1.38	1.03	1.91	1.7	0.783333333	3			0.005847953	0.966666667		0.966666667	0.9	0.883333333	2.09	1.21	2.76	405	364	50	34	32	object	48	5	5	5
4	20	A	F	37	22	15	52	26	26	45	20	25	1.58	2.72	1.42	1.46	1.64	1.29	0.616666667	4	0		-0.160818713	0.866666667		0.866666667	0.75	0.744444444	2.15	1.44	2.29	420	460	62	48	45	object	52	16	13	8
5	28	A	M	50	22	28	51	24	27	54	27	27	1.67	1.13	1.32	1.31	1.12	1.07	0.833333333	5	1		0.055847953	0.85		0.85	0.9	0.861111111	1.4	1.32	1.66	202	545	62	55	53	object	56	11	6	7
6	27	A	F	47	23	24	49	26	23	51	27	24	1.55	1.31	1.03	0.84	1.18	0.99	0.783333333	6			0.005847953	0.816666667		0.816666667	0.85	0.816666667	1.43	0.94	1.68	415	482	45	34	43	object	48	15	11	15
7	27	A	M	53	25	28	56	28	28	57	29	28	2.48	2.54	2.08	1.89	2.08	2.28	0.883333333	7	1		0.105847953	0.933333333		0.933333333	0.95	0.922222222	2.51	1.99	3.22	319	292	56	43	42	object	52	6	6	5
8	22	A	F	31	16	15	51	24	27	46	20	26	2.53	1.95	1.33	0.97	1.57	1.87	0.516666667	8	0		-0.260818713	0.85		0.85	0.766666667	0.711111111	2.24	1.15	2.51	559	403	40	28	44	object	55	6	7	7
9	28	A	F	38	16	22	54	25	29	47	22	25	1.63	1.77	1.42	1.44	1.8	1.74	0.633333333	9	0		-0.144152047	0.9		0.9	0.783333333	0.772222222	1.7	1.43	2.67	649	660	41	32	44	object	50	12	7	6
10	19	A	F	58	29	29	56	27	29	58	29	29	1.85	0.93	0.61	0.45	0.76	0.61	0.966666667	10	1		0.189181287	0.933333333		0.933333333	0.966666667	0.955555556	1.39	0.53	1.07	516	450	55	42	45	object	55	9	9	8
